姓名,選區,政黨
林于玲,嘉義縣第2選舉區,中國國民黨
林江釧,嘉義縣第1選舉區,中國國民黨
陳明文,嘉義縣第2選舉區,民主進步黨
蔡易餘,嘉義縣第1選舉區,民主進步黨
賴競民,嘉義縣第2選舉區,大愛憲改聯盟
黃昭展,屏東縣第3選舉區,無
許謹如,屏東縣第3選舉區,中國國民黨
廖婉汝,屏東縣第1選舉區,中國國民黨
王進士,屏東縣第2選舉區,中國國民黨
莊瑞雄,屏東縣第3選舉區,民主進步黨
鍾佳濱,屏東縣第2選舉區,民主進步黨
蘇震清,屏東縣第1選舉區,民主進步黨
張兆陽,屏東縣第3選舉區,中華統一促進黨
丁勇智,屏東縣第3選舉區,自由台灣黨
郝龍斌,基隆市選舉區,中國國民黨
蔡適應,基隆市選舉區,民主進步黨
劉文雄,基隆市選舉區,親民黨
楊石城,基隆市選舉區,民國黨
曾耀澂,新竹市選舉區,無
黃源甫,新竹市選舉區,無
王榮德,新竹市選舉區,無
吳淑敏,新竹市選舉區,無
鄭正鈐,新竹市選舉區,中國國民黨
柯建銘,新竹市選舉區,民主進步黨
歐崇敬,新竹市選舉區,親民黨
魏揚,新竹市選舉區,軍公教聯盟黨
邱顯智,新竹市選舉區,時代力量
林家宇,新竹市選舉區,自由台灣黨
翁壽良,嘉義市選舉區,無
黃宏成台灣阿成世界偉人財神總統,嘉義市選舉區,無
吳育仁,嘉義市選舉區,中國國民黨
李俊俋,嘉義市選舉區,民主進步黨
柳淑芳,高雄市第3選舉區,無
林景元,高雄市第7選舉區,無
莊啟旺,高雄市第7選舉區,中國國民黨
郭倫豪,高雄市第4選舉區,中國國民黨
蔡金晏,高雄市第5選舉區,中國國民黨
黃韻涵,高雄市第2選舉區,中國國民黨
黃璽文,高雄市第8選舉區,中國國民黨
張顯耀,高雄市第3選舉區,中國國民黨
林國正,高雄市第9選舉區,中國國民黨
黃柏霖,高雄市第6選舉區,中國國民黨
鍾易仲,高雄市第1選舉區,中國國民黨
賴瑞隆,高雄市第9選舉區,民主進步黨
趙天麟,高雄市第7選舉區,民主進步黨
許智傑,高雄市第8選舉區,民主進步黨
邱議瑩,高雄市第1選舉區,民主進步黨
邱志偉,高雄市第2選舉區,民主進步黨
劉世芳,高雄市第3選舉區,民主進步黨
林岱樺,高雄市第4選舉區,民主進步黨
管碧玲,高雄市第5選舉區,民主進步黨
李昆澤,高雄市第6選舉區,民主進步黨
黃金玲,高雄市第2選舉區,中華統一促進黨
林俊揚,高雄市第4選舉區,中華統一促進黨
汪婷萱,高雄市第8選舉區,中華統一促進黨
劉子麟,高雄市第1選舉區,中華統一促進黨
蔡媽福,高雄市第9選舉區,中華統一促進黨
莊明憲,高雄市第3選舉區,大愛憲改聯盟
張育華,高雄市第8選舉區,人民民主陣線
王新昌,高雄市第5選舉區,軍公教聯盟黨
劉義雄,高雄市第8選舉區,軍公教聯盟黨
李柏融,高雄市第2選舉區,樹黨
楊翰奇,高雄市第6選舉區,和平鴿聯盟黨
莊婷欣,高雄市第1選舉區,和平鴿聯盟黨
陳素莉,高雄市第7選舉區,和平鴿聯盟黨
楊宗穎,高雄市第5選舉區,和平鴿聯盟黨
陳惠敏,高雄市第7選舉區,時代力量
陳函谷,高雄市第8選舉區,時代力量
林宗彥,高雄市第9選舉區,民國黨
曾盈豐,高雄市第2選舉區,自由台灣黨
馬凱妮,高雄市第8選舉區,社會福利黨
梁蓓禎,高雄市第3選舉區,信心希望聯盟
黃泯甄,臺南市第2選舉區,中華統一促進黨
陳柏志,臺南市第1選舉區,中華統一促進黨
翁琬甯,臺南市第3選舉區,中華統一促進黨
傅建峰,臺南市第4選舉區,中華統一促進黨
陳皇州,臺南市第4選舉區,大愛憲改聯盟
蔡郁芝,臺南市第4選舉區,時代力量
鄧秀寶,臺南市第3選舉區,民國黨
黃憲清,臺南市第2選舉區,自由台灣黨
楊智達,臺南市第4選舉區,綠黨社會民主黨聯盟
林德旺,臺南市第1選舉區,無
王國棟,臺南市第2選舉區,無
黃瑞坤,臺南市第1選舉區,中國國民黨
謝龍介,臺南市第3選舉區,中國國民黨
黃耀盛,臺南市第2選舉區,中國國民黨
林易煌,臺南市第5選舉區,中國國民黨
陳淑慧,臺南市第4選舉區,中國國民黨
葉宜津,臺南市第1選舉區,民主進步黨
陳亭妃,臺南市第3選舉區,民主進步黨
林俊憲,臺南市第4選舉區,民主進步黨
王定宇,臺南市第5選舉區,民主進步黨
黃偉哲,臺南市第2選舉區,民主進步黨
晏揚清,臺南市第5選舉區,台灣工黨
李盈蒔,臺南市第5選舉區,中華統一促進黨
楊金軒,桃園市第6選舉區,無
黃維春,桃園市第2選舉區,無
羅文欽,桃園市第5選舉區,無
呂玉玲,桃園市第5選舉區,中國國民黨
廖正井,桃園市第2選舉區,中國國民黨
楊麗環,桃園市第4選舉區,中國國民黨
孫大千,桃園市第6選舉區,中國國民黨
陳根德,桃園市第1選舉區,中國國民黨
陳學聖,桃園市第3選舉區,中國國民黨
張肇良,桃園市第5選舉區,民主進步黨
鄭運鵬,桃園市第1選舉區,民主進步黨
鄭寶清,桃園市第4選舉區,民主進步黨
陳賴素美,桃園市第2選舉區,民主進步黨
徐景文,桃園市第3選舉區,民主進步黨
黃國華,桃園市第5選舉區,健保免費連線
陳佩俞,桃園市第2選舉區,樹黨
張康儀,桃園市第2選舉區,時代力量
陳宏瑞,桃園市第3選舉區,民國黨
張誠,桃園市第5選舉區,民國黨
余能生,桃園市第3選舉區,自由台灣黨
藍大山,桃園市第6選舉區,台灣獨立黨
許淑華,南投縣第2選舉區,中國國民黨
馬文君,南投縣第1選舉區,中國國民黨
蔡煌瑯,南投縣第2選舉區,民主進步黨
張國鑫,南投縣第1選舉區,民主進步黨
紀國棟,臺中市第2選舉區,無
王政棋,臺中市第8選舉區,無
苗豐隆,臺中市第5選舉區,無
顏惠莉,臺中市第4選舉區,無
賀姿華,臺中市第6選舉區,無
鍾文龍,臺中市第2選舉區,無
黃金推,臺中市第1選舉區,無
盧秀燕,臺中市第5選舉區,中國國民黨
蔡錦隆,臺中市第4選舉區,中國國民黨
顏寬恒,臺中市第2選舉區,中國國民黨
顏秋月,臺中市第1選舉區,中國國民黨
楊瓊瓔,臺中市第3選舉區,中國國民黨
沈智慧,臺中市第6選舉區,中國國民黨
賴義鍠,臺中市第7選舉區,中國國民黨
江啟臣,臺中市第8選舉區,中國國民黨
張廖萬堅,臺中市第4選舉區,民主進步黨
陳世凱,臺中市第2選舉區,民主進步黨
黃國書,臺中市第6選舉區,民主進步黨
何欣純,臺中市第7選舉區,民主進步黨
謝志忠,臺中市第8選舉區,民主進步黨
蔡其昌,臺中市第1選舉區,民主進步黨
劉國隆,臺中市第5選舉區,台灣團結聯盟
陳軍元,臺中市第1選舉區,中華統一促進黨
王淑芬,臺中市第1選舉區,大愛憲改聯盟
石大哉,臺中市第7選舉區,軍公教聯盟黨
黃信吉,臺中市第3選舉區,軍公教聯盟黨
洪慈庸,臺中市第3選舉區,時代力量
吳淑慧,臺中市第4選舉區,民國黨
游壽元,臺中市第4選舉區,自由台灣黨
簡孟軒,臺中市第5選舉區,信心希望聯盟
葉春幸,臺中市第4選舉區,信心希望聯盟
陳雙全,澎湖縣選舉區,中國國民黨
楊曜,澎湖縣選舉區,民主進步黨
黃漢東,澎湖縣選舉區,台灣工黨
冼義哲,澎湖縣選舉區,樹黨
方景鈞,臺北市第8選舉區,無
何偉,臺北市第4選舉區,無
賴樹聲,臺北市第8選舉區,無
李慶元,臺北市第8選舉區,無
趙燕傑,臺北市第3選舉區,無
趙衍慶,臺北市第6選舉區,無
龔偉綸,臺北市第5選舉區,無
楊實秋,臺北市第7選舉區,無
詹益正,臺北市第7選舉區,無
周芳如,臺北市第6選舉區,無
龎維良,臺北市第6選舉區,無
林文傑,臺北市第7選舉區,無
黃麗香,臺北市第3選舉區,無
潘建志,臺北市第3選舉區,無
蔣慰慈,臺北市第6選舉區,無
陳科引,臺北市第3選舉區,無
王銘宗,臺北市第2選舉區,無
黃福卿,臺北市第5選舉區,無
丁守中,臺北市第1選舉區,中國國民黨
林郁方,臺北市第5選舉區,中國國民黨
費鴻泰,臺北市第7選舉區,中國國民黨
蔣乃辛,臺北市第6選舉區,中國國民黨
蔣萬安,臺北市第3選舉區,中國國民黨
李彥秀,臺北市第4選舉區,中國國民黨
賴士葆,臺北市第8選舉區,中國國民黨
吳思瑤,臺北市第1選舉區,民主進步黨
姚文智,臺北市第2選舉區,民主進步黨
潘懷宗,臺北市第2選舉區,新黨
黃珊珊,臺北市第4選舉區,親民黨
蕭亞譚,臺北市第4選舉區,台灣團結聯盟
陳如聖,臺北市第8選舉區,台灣工黨
古文發,臺北市第6選舉區,大愛憲改聯盟
洪顯政,臺北市第5選舉區,大愛憲改聯盟
范揚律,臺北市第7選舉區,大愛憲改聯盟
高士恩,臺北市第3選舉區,大愛憲改聯盟
林幸蓉,臺北市第2選舉區,健保免費連線
吳忠錚,臺北市第1選舉區,健保免費連線
鄭村棋,臺北市第6選舉區,人民民主陣線
李成嶽,臺北市第3選舉區,軍公教聯盟黨
尤瑞敏,臺北市第5選舉區,樹黨
陳家宏,臺北市第6選舉區,樹黨
蘇承英,臺北市第7選舉區,和平鴿聯盟黨
邱正浩,臺北市第3選舉區,和平鴿聯盟黨
李岳峰,臺北市第4選舉區,和平鴿聯盟黨
林昶佐,臺北市第5選舉區,時代力量
林少馳,臺北市第4選舉區,時代力量
吳旭智,臺北市第6選舉區,民國黨
王靜亞,臺北市第1選舉區,民國黨
陳建斌,臺北市第2選舉區,自由台灣黨
李家幸,臺北市第5選舉區,台灣獨立黨
林新凱,臺北市第3選舉區,台灣獨立黨
陳兆銘,臺北市第4選舉區,台灣獨立黨
黃清原,臺北市第1選舉區,台灣獨立黨
陳民乾,臺北市第2選舉區,台灣獨立黨
林芷芬,臺北市第7選舉區,台灣獨立黨
林珍妤,臺北市第6選舉區,台灣獨立黨
呂欣潔,臺北市第7選舉區,綠黨社會民主黨聯盟
苗博雅,臺北市第8選舉區,綠黨社會民主黨聯盟
范雲,臺北市第6選舉區,綠黨社會民主黨聯盟
陳尚志,臺北市第4選舉區,綠黨社會民主黨聯盟
李晏榕,臺北市第3選舉區,綠黨社會民主黨聯盟
吳俊德,臺北市第2選舉區,信心希望聯盟
曾獻瑩,臺北市第6選舉區,信心希望聯盟
周書涵,苗栗縣第2選舉區,無
黃玉燕,苗栗縣第1選舉區,無
戴文祥,苗栗縣第2選舉區,無
徐志榮,苗栗縣第2選舉區,中國國民黨
陳超明,苗栗縣第1選舉區,中國國民黨
吳宜臻,苗栗縣第2選舉區,民主進步黨
杜文卿,苗栗縣第1選舉區,民主進步黨
康世儒,苗栗縣第1選舉區,民國黨
林一方,苗栗縣第1選舉區,自由台灣黨
劉文忠,苗栗縣第2選舉區,自由台灣黨
陳長發,新北市第3選舉區,大愛憲改聯盟
邵伯祥,新北市第8選舉區,大愛憲改聯盟
林麗容,新北市第4選舉區,正黨
曾文聖,新北市第9選舉區,健保免費連線
洪志成,新北市第1選舉區,健保免費連線
林建志,新北市第8選舉區,健保免費連線
汪成華,新北市第7選舉區,健保免費連線
蕭忠漢,新北市第3選舉區,健保免費連線
董建一,新北市第9選舉區,中華民國機車黨
吳金魁,新北市第8選舉區,軍公教聯盟黨
黃鈞民,新北市第6選舉區,軍公教聯盟黨
姚胤宏,新北市第3選舉區,樹黨
李建明,新北市第6選舉區,樹黨
蘇通達,新北市第1選舉區,樹黨
劉鳳章,新北市第4選舉區,和平鴿聯盟黨
鐘國誌,新北市第12選舉區,和平鴿聯盟黨
陳筠棻,新北市第1選舉區,和平鴿聯盟黨
黃國昌,新北市第12選舉區,時代力量
郭柏瑜,新北市第5選舉區,時代力量
張菁芳,新北市第9選舉區,民國黨
李貴寶,新北市第6選舉區,民國黨
黃魯光,新北市第10選舉區,自由台灣黨
林其瑩,新北市第3選舉區,社會福利黨
陳立基,新北市第1選舉區,無
李幸長,新北市第9選舉區,無
莊豐銘,新北市第6選舉區,無
